Local time,Ask,Bid,AskVolume,BidVolume
25.12.2023 02:30:05.172 GMT+0330,1.1021,1.10108,900,900
25.12.2023 02:30:41.134 GMT+0330,1.10203,1.10139,900,900
25.12.2023 02:40:04.666 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:08:16.199 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:19:50.189 GMT+0330,1.10185,1.10159,900,900
25.12.2023 03:19:53.451 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:41.756 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:24:44.265 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:44.766 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:24:47.272 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:47.774 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:24:50.282 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:54.846 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:24:56.299 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:56.752 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:24:59.309 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:24:59.762 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:25:02.268 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:25:18.567 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:25:21.174 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:25:54.838 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:25:56.294 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:25:56.797 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:25:59.307 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:25:59.759 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:00.161 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:03.625 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:06.135 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:06.588 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:09.148 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:17.781 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:20.291 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:24.857 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:26.312 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:26.764 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:29.271 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:29.773 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:30.174 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:44.818 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:26:47.275 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:26:59.814 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:02.271 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:13.855 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:15.161 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:15.613 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:17.974 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:18.626 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:20.282 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:20.785 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:21.137 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:31.842 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:32.295 GMT+0330,1.10204,1.10149,900,900
25.12.2023 03:27:47.799 GMT+0330,1.10203,1.10149,900,900
25.12.2023 03:27:50.310 GMT+0330,1.10204,1.10149,900,900
